陀螺X(弧度),陀螺Y(弧度),陀螺Z(弧度),加速度X(mg),加速度Y(mg),加速度Z(mg),滚动角(度),俯仰角(度),航向角(度)
-0.11109,0.97230,-0.01806,369.34720,-215.42000,-957.15780,11.83630,21.46480,77.21390
-0.10752,0.10031,-0.01537,372.73860,-210.24170,-956.10540,11.55604,21.63160,77.10686
-0.10752,0.10031,-0.01537,372.73860,-210.24170,-956.10540,11.55604,21.63160,77.10686
-0.10752,0.00000,-0.01537,372.73860,-210.24170,-956.10540,11.55604,21.63160,77.10686
-0.10161,0.08061,-0.01459,377.17320,-203.28660,-957.04600,11.26853,21.74127,76.97670
-0.10161,0.08061,-0.01459,377.17320,-203.28660,-957.04600,11.26853,21.74127,76.97670
-0.10354,0.06619,-0.01110,382.02460,-197.98400,-955.20810,10.96792,21.85979,76.88736
-0.10354,0.06619,-0.01110,382.02460,-197.98400,-955.20810,10.96792,21.85979,76.88736
-0.10354,0.00000,-0.01110,382.02460,-197.98400,-955.20810,10.96792,21.85979,76.88736
-0.10535,0.06054,-0.00650,385.09220,-193.74980,-955.21310,10.68282,21.99195,76.83847
-0.10535,0.00000,-0.00650,385.09220,-193.74980,-955.21310,10.68282,21.99195,76.83847
-0.09931,0.04794,-0.00549,388.67540,-186.84660,-955.66590,10.39529,22.06102,76.74899
-0.09931,0.04794,-0.00549,388.67540,-186.84660,-955.66590,10.39529,22.06102,76.74899
-0.09292,0.03172,-0.00525,388.99070,-182.39250,-955.76300,10.15694,22.05351,76.65005
-0.09292,0.03172,-0.00525,388.99070,-182.39250,-955.76300,10.15694,22.05351,76.65005
-0.09292,0.00000,-0.00525,388.99070,-182.39250,-955.76300,10.15694,22.05351,76.65005
-0.08356,0.01742,-0.00305,390.06500,-179.74400,-955.49480,9.99179,22.01199,76.56750
-0.08356,0.87490,-0.00305,390.06500,-179.74400,-955.49480,9.99179,22.01199,76.56750
